# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
21

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,FuselageGeom,0,ZQCTGKKFUH,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,16,17
# x,y,z,u,w
0.000000000000000000e+00, 7.499999999999997120e-03, -1.200000000000000198e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
-2.312964634635742664e-18, 6.910222877395499723e-03, -1.589089150958199886e-02, 1.000000000000000000e+00, 2.500000000000000000e-01
-4.625929269271485328e-18, 5.302261006387999458e-03, -1.906968134185066041e-02, 1.000000000000000000e+00, 5.000000000000000000e-01
-4.625929269271485328e-18, 2.918168632186498961e-03, -2.121363050319399757e-02, 1.000000000000000000e+00, 7.500000000000000000e-01
-4.625929269271485328e-18, 1.027162637006525731e-33, -2.199999999999999525e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
-2.891205793294678234e-18, -2.918168632186497226e-03, -2.121363050319400104e-02, 1.000000000000000000e+00, 1.250000000000000000e+00
-4.625929269271485328e-18, -5.302261006387994254e-03, -1.906968134185066041e-02, 1.000000000000000000e+00, 1.500000000000000000e+00
-2.312964634635742664e-18, -6.910222877395499723e-03, -1.589089150958199886e-02, 1.000000000000000000e+00, 1.750000000000000000e+00
0.000000000000000000e+00, -7.499999999999997120e-03, -1.199999999999999852e-02, 1.000000000000000000e+00, 2.000000000000000000e+00
-2.312964634635742664e-18, -6.910222877395497121e-03, -8.109108490418001636e-03, 1.000000000000000000e+00, 2.250000000000000000e+00
-4.625929269271485328e-18, -5.302261006387999458e-03, -4.930318658149336619e-03, 1.000000000000000000e+00, 2.500000000000000000e+00
-2.312964634635742664e-18, -2.918168632186498961e-03, -2.786369496806001197e-03, 1.000000000000000000e+00, 2.750000000000000000e+00
0.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000001776e-03, 1.000000000000000000e+00, 3.000000000000000000e+00
-1.734723475976807094e-18, 2.918168632186498961e-03, -2.786369496806002065e-03, 1.000000000000000000e+00, 3.250000000000000000e+00
0.000000000000000000e+00, 5.302261006387996856e-03, -4.930318658149336619e-03, 1.000000000000000000e+00, 3.500000000000000000e+00
-2.312964634635742664e-18, 6.910222877395498856e-03, -8.109108490418003370e-03, 1.000000000000000000e+00, 3.750000000000000000e+00
-4.625929269271485328e-18, 7.499999999999997120e-03, -1.200000000000000198e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
2.492853031272580094e-02, 1.861219633484761243e-02, -1.075200000000000287e-02, 1.199999999999999956e+00, 0.000000000000000000e+00
2.492853031272579054e-02, 1.716133140159971718e-02, -1.920995773378594146e-02, 1.199999999999999956e+00, 2.500000000000000000e-01
2.492853031272578707e-02, 1.315944595465157532e-02, -2.623030143477859261e-02, 1.199999999999999956e+00, 5.000000000000000000e-01
2.492853031272579747e-02, 7.181745318643038833e-03, -3.093540220664735274e-02, 1.199999999999999956e+00, 7.500000000000000000e-01
2.492853031272580094e-02, -3.108624468950437222e-18, -3.264419633484761524e-02, 1.199999999999999956e+00, 1.000000000000000000e+00
2.492853031272579747e-02, -7.181745318643041436e-03, -3.093540220664735274e-02, 1.199999999999999956e+00, 1.250000000000000000e+00
2.492853031272578707e-02, -1.315944595465157185e-02, -2.623030143477859261e-02, 1.199999999999999956e+00, 1.500000000000000000e+00
2.492853031272578707e-02, -1.716133140159971371e-02, -1.920995773378594146e-02, 1.199999999999999956e+00, 1.750000000000000000e+00
2.492853031272578707e-02, -1.861219633484761243e-02, -1.075200000000000114e-02, 1.199999999999999956e+00, 2.000000000000000000e+00
2.492853031272579747e-02, -1.716133140159971718e-02, -2.294042266214060821e-03, 1.199999999999999956e+00, 2.250000000000000000e+00
2.492853031272579747e-02, -1.315944595465158226e-02, 4.726301434778596398e-03, 1.199999999999999956e+00, 2.500000000000000000e+00
2.492853031272578707e-02, -7.181745318643047507e-03, 9.431402206647346992e-03, 1.199999999999999956e+00, 2.750000000000000000e+00
2.492853031272578707e-02, -4.283654770611129622e-18, 1.114019633484760775e-02, 1.199999999999999956e+00, 3.000000000000000000e+00
2.492853031272578360e-02, 7.181745318643039701e-03, 9.431402206647346992e-03, 1.199999999999999956e+00, 3.250000000000000000e+00
2.492853031272579400e-02, 1.315944595465157532e-02, 4.726301434778598133e-03, 1.199999999999999956e+00, 3.500000000000000000e+00
2.492853031272578707e-02, 1.716133140159971718e-02, -2.294042266214060388e-03, 1.199999999999999956e+00, 3.750000000000000000e+00
2.492853031272578707e-02, 1.861219633484761243e-02, -1.075200000000000114e-02, 1.199999999999999956e+00, 4.000000000000000000e+00
5.753560085624655901e-02, 2.528872087670356456e-02, -7.776000000000002528e-03, 1.399999999999999911e+00, 0.000000000000000000e+00
5.753560085624656595e-02, 2.331442709568907340e-02, -1.954791952606674266e-02, 1.399999999999999911e+00, 2.500000000000000000e-01
5.753560085624657289e-02, 1.787968808268806248e-02, -2.928950429239930014e-02, 1.399999999999999911e+00, 5.000000000000000000e-01
5.753560085624657289e-02, 9.772001290141588484e-03, -3.582623317433078491e-02, 1.399999999999999911e+00, 7.500000000000000000e-01
5.753560085624656595e-02, -3.497202527569243127e-18, -3.820472087670356842e-02, 1.399999999999999911e+00, 1.000000000000000000e+00
5.753560085624655901e-02, -9.772001290141591953e-03, -3.582623317433078491e-02, 1.399999999999999911e+00, 1.250000000000000000e+00
5.753560085624655207e-02, -1.787968808268805901e-02, -2.928950429239930708e-02, 1.399999999999999911e+00, 1.500000000000000000e+00
5.753560085624655207e-02, -2.331442709568906646e-02, -1.954791952606674266e-02, 1.399999999999999911e+00, 1.750000000000000000e+00
5.753560085624655207e-02, -2.528872087670356456e-02, -7.776000000000002528e-03, 1.399999999999999911e+00, 2.000000000000000000e+00
5.753560085624655901e-02, -2.331442709568907340e-02, 3.995919526066740203e-03, 1.399999999999999911e+00, 2.250000000000000000e+00
5.753560085624655901e-02, -1.787968808268806942e-02, 1.373750429239930376e-02, 1.399999999999999911e+00, 2.500000000000000000e+00
5.753560085624655207e-02, -9.772001290141597157e-03, 2.027423317433078853e-02, 1.399999999999999911e+00, 2.750000000000000000e+00
5.753560085624655207e-02, -4.819111616937521788e-18, 2.265272087670355816e-02, 1.399999999999999911e+00, 3.000000000000000000e+00
