WARNING: 1 open meshes merged
     Merged: Wings
...Mass Properties...
10 Num Comps
10 Total Num Meshes
6940 Total Num Tris

1.545486422512630e-03             Total Mass
2.259888201213281e-01 -1.287511420537767e-05 3.668901188334945e-03       Center of Gravity
1.789267030488152e-05 2.327388523760542e-05 4.011535408399552e-05       Ixx, Iyy, Izz
8.491667669769895e-10 2.847920264185121e-07 -2.643527269314164e-09       Ixy, Ixz, Iyz
1.545486422512630e-03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	1.177668131383117e-03	2.215107160935194e-01	-2.341691152066136e-05	-1.465475999528164e-03	6.577167593175834e-07	1.815574199211241e-05	1.806754322435180e-05	-1.381705753681239e-08	2.795277395890179e-07	-3.936718240975974e-09	1.177668131383117e-03
Wings	3.292070650522930e-04	2.032326283428275e-01	-1.093176238260667e-05	2.105986050488143e-02	1.704765977636836e-05	2.593148172282848e-07	1.729944167820664e-05	9.754656960942907e-09	1.124401115663482e-09	1.288214671358990e-09	3.292070650522930e-04
HStab	1.214718935567717e-05	5.694794329494482e-01	-3.544329467302731e-02	-5.591692838617080e-04	3.849681584145223e-09	9.461755612633345e-09	1.324653893773362e-08	-5.176021649276190e-11	-2.160434828844805e-11	-4.952169553109400e-11	1.214718935567717e-05
HStab	1.287591794022260e-05	5.694794329494482e-01	3.445250303073433e-02	-5.462248025999243e-04	4.066688432586524e-09	1.003377743630712e-08	1.402288117864119e-08	-9.606998772048517e-11	-2.446917649564647e-11	3.507155459366538e-11	1.287591794022260e-05
VStab	1.264558733744837e-05	5.694794329494479e-01	-1.698020432027801e-18	3.697181797333056e-02	3.698297048461413e-09	1.349465033959400e-08	9.836026705976517e-09	-8.930662893890197e-12	-6.511097502552241e-11	-1.076774684417037e-12	1.264558733744837e-05
MeshGeom	9.007061709111640e-07	2.010922603951691e-02	-1.986310462354276e-03	9.527430895205202e-03	8.737974555591604e-12	7.026234952186988e-10	7.044683352075226e-10	5.974857960175836e-12	6.313447982805441e-12	1.572125711701027e-12	9.007061709111640e-07
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
MeshGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
MeshGeom	9.380228146351334e-22	5.694525188691567e-01	7.491783339744724e-03	-2.819375936842413e-03	3.781812610316200e-26	7.284385464473265e-25	7.662315278643377e-25	-2.088881568055805e-27	-3.809290798515140e-29	6.894232314238862e-28	9.380228146351334e-22
MeshGeom	4.182527296330317e-08	5.084382988483447e-01	-1.018124980009706e-04	1.769740374642311e-02	6.019338259984044e-13	3.306863797955495e-11	3.246738157820751e-11	-3.155443620884047e-30	4.772808110776430e-13	-9.839998730478776e-15	4.182527296330317e-08
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.545486422512630e-03	2.259888201213281e-01	-1.287511420537767e-05	3.668901188334945e-03	1.789267030488152e-05	2.327388523760542e-05	4.011535408399552e-05	8.491667669769895e-10	2.847920264185121e-07	-2.643527269314164e-09	1.545486422512630e-03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
10 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
2.010922603951681e-02	6.107382678488348e-05	2.010922603951681e-02	-2.929376109162843e-05	-1.069063368971078e-02	1.241979395707602e-08	5.392555260028487e-08	5.331186772102414e-08	-2.007387957269728e-10	-1.043079583070875e-10	-2.581214411334234e-10	6.107382678488348e-05
8.115036014062031e-02	2.366929868307229e-04	6.539993297012781e-02	-7.558661178532265e-06	-6.786839319593623e-03	1.134081952200421e-07	4.116779304808405e-07	4.068870329483934e-07	-1.374082307562209e-09	1.376116164985490e-08	-7.783986523303050e-10	2.366929868307229e-04
1.421914942417238e-01	4.580182856648105e-04	1.025074367059287e-01	-3.906136822009443e-06	-3.800642033500061e-03	2.761046152030173e-07	1.348676927045117e-06	1.325127589033113e-06	-3.002436400369495e-09	6.713931214182400e-08	-1.787602767642760e-09	4.580182856648105e-04
2.032326283428273e-01	1.001262020168631e-03	1.571567973740048e-01	-5.381104438258261e-06	5.185746801560420e-03	1.759727438317820e-05	4.503318115595229e-06	2.137743158523320e-05	5.669210845304386e-09	4.824552080357298e-07	-8.808309931043027e-10	1.001262020168631e-03
2.642737624439307e-01	1.188669876097283e-03	1.740450530293505e-01	-4.532709719436858e-06	4.368152523273382e-03	1.771607773373595e-05	6.530128532977563e-06	2.338298019895630e-05	4.432999456888043e-09	3.939174850711475e-07	-1.671611723722915e-09	1.188669876097283e-03
3.253148965450343e-01	1.338568014740681e-03	1.909848481881882e-01	-4.025118963888809e-06	3.878989533168623e-03	1.779292244239837e-05	9.739640532600082e-06	2.657491697605005e-05	3.561082143074251e-09	3.051173118459167e-07	-2.170407561894390e-09	1.338568014740681e-03
3.863560306461378e-01	1.431359558108061e-03	2.036502846587738e-01	-3.764687281794575e-06	3.627524261359202e-03	1.782362394560754e-05	1.314390333126198e-05	2.996988482569006e-05	3.218356975599757e-09	2.389970869863227e-07	-2.709325544281421e-09	1.431359558108061e-03
4.473971647472412e-01	1.479492214849167e-03	2.115801573497293e-01	-1.645413751367424e-05	3.516370353433719e-03	1.783346024352330e-05	1.595462516096676e-05	3.277702311754590e-05	-1.333081855981576e-09	1.999518617636118e-07	-2.645245207333205e-09	1.479492214849167e-03
5.084382988483448e-01	1.501622970713299e-03	2.159552203208726e-01	-2.151804556854355e-05	3.471984933325639e-03	1.783572420493383e-05	1.789491840035247e-05	3.471640129276146e-05	-3.580393172122805e-09	1.803708360964629e-07	-2.588481250536097e-09	1.501622970713299e-03
5.694794329494482e-01	1.545486422512629e-03	2.259888201213282e-01	-1.287511420539005e-05	3.668901188334949e-03	1.789267030488153e-05	2.327388523760548e-05	4.011535408399551e-05	8.491667669778633e-10	2.847920264185120e-07	-2.643527269314209e-09	1.545486422512629e-03
